#Name Ra Dec Flux[V] maj_ax min_ax
NGC107 6.425770833333334 -8.282797222222223 -- 0.443 0.222
NGC108 6.498916250000001 29.212066944444445 -- 1.083 0.737
NGC109 6.5610541666666675 21.807357222222223 -- 0.687 0.426
NGC110 6.854166666666666 71.42166666666667 -- -- --
NGC111 0.0 0.0 -- -- --
NGC112 6.703124166666667 31.70332722222222 -- 0.707 0.325
NGC113 6.727665833333334 -2.5009119444444443 -- 0.74 0.666
NGC114 6.742588333333334 -1.7862041666666666 -- 0.677 0.514
NGC115 6.692825 -33.677099999999996 -- 0.72 0.346
NGC116 6.771779583333333 -7.668221666666667 -- 0.69 0.345
NGC117 6.796155416666667 1.3336983333333332 -- 0.637 0.267
NGC118 6.817602916666667 -1.7801441666666666 -- 0.5 0.42
NGC119 6.7400425 -56.97806888888889 -- 0.67 0.63
NGC120 6.8753762499999995 -1.513463611111111 -- 1.133 0.408
NGC121 6.7041666666666675 -71.53611111111111 11.24 3.8 3.1
NGC124 6.968152083333334 -1.8102933333333333 -- 0.727 0.363
NGC125 7.2090379166666665 2.8387800000000003 -- 0.787 0.661
NGC126 7.283694583333333 2.8110552777777778 -- 0.563 0.293
NGC127 7.301652083333334 2.872566388888889 -- 0.543 0.315
NGC128 7.31267875 2.8640455555555557 -- 2.04 0.612
NGC129 7.607083333333334 60.213055555555556 6.5 20.3 20.3
NGC130 7.327253750000001 2.870417222222222 -- 0.52 0.27
NGC131 7.410560416666667 -33.25991194444445 13.22 1.063 0.404
NGC132 7.544524166666666 2.0933580555555555 -- 0.963 0.79
NGC133 7.800000000000001 63.39694444444444 9.4 -- --
NGC134 7.591333333333334 -33.24292777777778 10.12 8.51 1.91
NGC135 7.941438333333335 -13.337384444444446 -- 0.4 0.392
NGC136 7.895833333333334 61.50611111111111 -- 3.2 3.2
NGC137 7.742005000000001 10.208390555555555 -- 0.777 0.621
NGC138 7.746839166666667 5.159732222222223 -- 0.88 0.387
NGC139 7.776496250000001 5.078627777777777 -- 0.523 0.304
NGC140 7.835195416666668 30.792533333333335 -- 0.607 0.473
NGC141 7.822589166666668 5.179715277777778 -- 0.503 0.443
NGC142 7.783681250000001 -22.618709444444445 -- 0.747 0.388
NGC143 7.815091666666667 -22.559919444444446 -- 0.7 0.21
