#Name Ra Dec Flux[V] maj_ax min_ax
IC120 22.05399233579 -1.9155145892799992 -- 0.65 0.234
IC121 22.090698605830003 2.5130010815699997 -- 0.7 0.476
IC122 22.055016862580004 -14.838880418700004 -- 0.4 0.2
IC123 22.21445541909 2.44643657481 15.210000038146973 0.46 0.304
IC124 22.287972 -1.937022 -- -- --
IC125 22.3264071918 -13.27976988667 -- 0.393 0.346
IC126 22.449441518790003 -1.9837363338 -- 0.49 0.402
IC127 22.44832916666667 -6.980058333333333 9.199999809265137 1.33 0.293
IC128 22.849525 -12.624380555555554 -- 0.367 0.249
IC129 22.88019302205 -12.65424299101 -- 0.547 0.405
IC130 22.86957623909 -15.5915684663 -- 0.457 0.411
IC131 23.3125 30.7525 -- -- --
IC132 23.31583333333333 30.945833333333333 14.819999694824219 0.6666667 0.55
IC133 23.31625 30.883888888888887 12.199999809265137 -- --
IC134 23.354175833333333 30.90066694444444 -- -- --
IC135 23.56508333333333 30.620305555555564 17.799999237060547 -- --
IC136 23.567500000000003 30.56500000000001 -- -- --
IC137 23.412108333333336 30.522500833333332 -- -- --
IC138 23.25823489573 -0.6898267212100001 -- 0.683 0.492
IC139 23.49662478923 30.567449185819992 15.260000228881836 -- --
IC141 23.21556173542 -14.814439382350006 -- 0.547 0.405
IC142 23.479583333333334 30.75611111111111 14.199999809265137 -- --
IC143 23.545749999999998 30.776333333333334 19.010000228881836 -- --
IC144 24.420170087519995 -13.314646816829999 -- 0.437 0.384
IC145 24.66031005214 0.7415098815500001 -- 0.413 0.322
IC146 24.6657433745 -17.83113262576 -- 0.733 0.411
IC147 24.99894056516 -14.86264878116 -- 0.42 0.395
IC148 25.612343172590002 13.97703361883 -- 3.4 1.1
IC150 25.739699651540004 4.20023216872 -- 0.503 0.252
IC151 26.0 13.2 -- -- --
IC152 26.005886 13.074147 -- 0.227 0.186
IC153 26.15086041666667 12.628931111111111 -- -- --
IC154 26.317761188550005 10.649377055439999 -- 1.12 0.246
IC155 26.88470416666667 60.61083472222223 -- -- --
IC156 26.3717786484 10.55277708074 -- 0.76 0.593
IC157 26.426675833333334 12.873345833333332 -- -- --
IC158 26.473034580099995 -6.93564163994 -- 0.417 0.317
IC159 26.60437382818 -8.63661918917 -- 0.507 0.345
IC160 26.6230844382496 -13.247644469913 -- 0.567 0.408
IC161 27.18224 10.507890000000002 -- 1.0 0.7
IC162 27.22263161502 10.521627515049998 -- 1.01 0.929
IC163 27.312429166666664 20.71131666666667 -- 0.967 0.503
IC164 27.285058569549996 -3.90436587553 -- 0.877 0.701
IC165 27.55845976209 27.64568035188 -- 2.027 0.486
IC166 28.093999999999998 61.857 11.699999809265137 7.2 7.2
IC167 27.78567 21.91281 -- 3.0 1.7
IC168 27.6151417218 -8.522947711640002 -- 0.743 0.312
IC169 27.663998285350004 -12.679556396390002 -- 0.497 0.338
IC170 27.989673736089998 -8.51761850978 -- 0.407 0.317
IC171 28.7924790376 35.281851484650005 -- 1.44 0.979
IC172 28.725970161159996 0.8111819482199999 -- 0.39 0.335
IC173 28.988139241770003 1.2851709362000001 -- 0.557 0.401
IC174 29.06700917881 3.76187015797 -- 0.7 0.406
IC175 29.078549349939998 1.33243240678 -- 0.323 0.259
IC176 29.22251666666667 -2.0189749999999997 -- 0.957 0.249
IC177 29.25242718029 -0.08984180931000002 -- 0.39 0.257
IC178 29.72839938536 36.67487732973 -- 0.737 0.619
IC179 30.047899586259998 38.02130472883 -- 0.887 0.692
IC180 30.00175413781 23.60432272582 -- 0.637 0.293
IC181 30.00973220673 23.65862025186 -- 0.383 0.253
IC182 29.965820226019996 7.41184604594 -- 0.637 0.407
IC183 29.89188815131 -5.347152536550001 -- 0.83 0.332
IC184 29.96352047195001 -6.84036339131 14.100000381469727 0.757 0.424
IC185 30.025201270829996 -1.5283393733900001 -- 0.567 0.261
IC186 30.09999843487 -1.5529502488200002 -- 1.043 0.459
IC187 30.378227259800006 26.480988319310004 -- 1.703 0.443
IC188 30.443669333799996 26.54672541269 -- 0.663 0.305
IC189 30.47045380698 23.551501738769996 -- 0.487 0.389
IC190 30.530386676019997 23.549842924300002 -- 0.537 0.333
IC191 30.622219451679996 18.37301557027 -- 0.86 0.74
IC192 30.634936022410002 16.01420011588 -- 0.453 0.354
IC193 30.629173264539997 11.093012206709998 -- 0.773 0.634
IC194 30.771724742129997 2.61417271815 -- 1.183 0.237
IC195 30.935864733789998 14.70928923951 -- 0.75 0.42
IC196 30.957503308409997 14.739120378110004 -- 1.16 0.394
IC197 31.020573958210008 2.78677911322 -- 0.717 0.373
IC198 31.51304867031 9.295527737920002 -- 0.503 0.312
IC200 31.3611052204769 31.1753242796705 -- 0.943 0.585
IC202 31.869318276479998 9.168469006799999 -- 0.793 0.222
IC204 31.862946680069996 -1.43012825174 -- 0.327 0.274
IC205 31.86430367138 -2.0912968199199997 -- 0.52 0.499
IC206 32.3778125 -6.968369444444445 -- 0.647 0.233
IC207 32.4139875 -6.922122222222222 -- 1.017 0.305
IC208 32.115566666666666 6.394869444444445 -- 0.677 0.609
IC209 32.24470864939 -7.058895306029999 -- 0.68 0.544
IC210 32.3676125 -9.68003611111111 -- 1.733 0.381
IC211 32.78315483613 3.8524116024 -- 0.433 0.355
IC212 33.40802916666667 16.594216666666668 -- 0.47 0.216
IC213 33.51785369099001 16.455911902 -- 0.86 0.602
IC215 33.53941666666667 -6.806338888888889 -- 0.8 0.192
IC216 33.99166666666667 -2.0116666666666667 -- -- --
IC217 34.04348333333333 -11.926702777777775 -- 1.473 0.265
IC218 34.28027499999999 1.2825083333333336 -- 0.64 0.23
IC219 34.661756989829996 -6.90337378497 -- 0.653 0.51
IC220 34.798904636770004 -12.781622181879998 -- 0.673 0.269
IC221 35.67041400783 28.256900536510003 -- 1.097 0.724
IC222 35.69936540823999 11.63818028876 -- 0.537 0.44
IC223 35.50458 -20.745920000000005 -- 1.17 0.66
IC224 36.18807911615 -12.564477936059998 -- 0.527 0.358
IC225 36.617725 1.1604138888888886 -- 0.357 0.342
IC226 36.94105946168 28.209224427600002 -- 0.613 0.589
IC227 37.01507810421 28.1753429045 -- 1.037 0.809
IC230 37.197005722869996 -10.83131080619 -- 0.373 0.299
IC231 37.48495801619 1.17906919225 -- 0.5 0.4
IC232 37.79845087216 1.26562845762 -- 0.733 0.469
IC233 37.92311703284 2.79884590283 -- 0.207 0.141
IC234 37.90713333333333 -0.13992777777777773 -- 0.45 0.207
IC235 38.21165817121 20.64121105563 -- 0.36 0.295
IC236 38.232521227709995 -0.13121145928000003 -- 0.457 0.247
IC237 38.38152123285 1.139892041 -- 0.42 0.344
IC238 38.84448771916 12.8377562372 -- 1.0 0.54
IC239 39.11594251433 38.96918982557 -- 1.053 0.969
IC240 39.69776481729 41.670465089660006 -- 0.623 0.424
IC241 39.47703373961001 2.32800244078 -- 0.527 0.379
IC242 39.63399782450001 -6.902053423599999 -- 0.793 0.476
IC244 39.8530415248 2.72879763723 -- 0.57 0.342
IC245 39.72770416666667 -14.305561111111112 -- 0.957 0.287
IC246 40.11916759027 2.47872038251 -- 0.43 0.396
IC247 40.03657101023 -11.733782834850002 -- 0.607 0.522
IC248 40.35771637946 17.812298518240002 -- 0.847 0.559
IC249 40.26040148953 -6.93586556015 -- 2.1 1.5
IC250 40.226208561469996 -13.313705716819998 -- 0.493 0.355
IC251 40.30771430202 -14.957782732290001 -- 0.473 0.388
IC253 40.52393924612999 -15.046811091970001 -- 0.55 0.462
IC254 40.52616569676 -15.091483560190001 -- 0.497 0.457
IC255 41.76343021234 16.28802120859 -- 0.433 0.234
IC257 42.4393 46.9776 -- 2.2 1.6
IC258 42.42029964693 41.05504513825 -- 0.563 0.327
IC259 42.44166984551 41.05184929347 -- 0.783 0.345
IC260 42.7536375 46.954874999999994 -- 0.86 0.585
IC261 42.26707432788 -14.470640520790003 -- 0.9 0.522
IC262 42.93022672635 42.82835004854001 -- 0.8 0.48
IC263 42.41651740220999 -0.06988135320000001 -- 0.443 0.31
IC264 42.19843340309 -0.1092007053 16.8799991607666 0.323 0.226
IC265 43.68326359537 41.65533727921 -- 0.54 0.464
IC266 43.76910101117 42.26313289929 13.911999702453613 -- --
IC267 43.45943923912999 12.8492468684 -- 1.48 0.444
IC268 43.86230878686 -14.10310244699 -- 0.533 0.331
IC269 43.86042746723 -14.066731345320003 -- 0.9 0.288
IC270 43.93427083333333 -14.207741666666665 -- 1.13 0.927
IC271 43.99771 -12.00785 -- 1.05 0.6
IC272 44.02681084511 -14.186657488210002 -- 0.697 0.446
IC273 44.29490416081 2.7750735091900003 -- 0.957 0.306
IC276 44.67372916666667 -15.701863888888889 -- 1.5 0.81
IC277 44.960800000000006 2.7714000000000003 15.5 0.837 0.586
IC278 45.37680509282 37.7659333153 -- 0.877 0.736
IC279 45.30080546452 16.2092700812 -- 0.447 0.366
IC281 46.15468296281 42.36279767802999 13.0 0.533 0.459
IC283 45.9602373509 -0.2044631462 17.93000030517578 0.42 0.302
IC284 46.54139771820999 42.3719475005 -- 1.68 0.638
IC285 46.02596012776 -12.015436935770001 -- 0.867 0.277
IC288 46.88715324889 42.38757768671999 -- 1.083 0.433
IC289 47.58042305376 61.316920423170004 -- 0.76454663 0.76454335
IC291 46.860176962340006 -12.58744332002 -- 0.77 0.37
IC294 47.762967852959996 40.622142423339994 -- 1.047 0.691
IC298 47.82874999999999 1.3147222222222223 -- 0.65 0.286
IC299 47.76059082621 -13.10956480648 -- 0.41 0.369
IC301 48.6988846462 42.22268805863 -- 0.94 0.827
IC302 48.21361724839 4.70705923096 13.0 1.087 0.695
IC304 48.75574451322001 37.88190933932001 -- 0.723 0.506
IC305 48.76578364153001 37.86001277684 -- 0.777 0.559
IC306 48.2508375588253 -11.7157693274568 -- 0.44 0.282
IC307 48.43836576539 -0.24149983329000002 -- 0.937 0.356
IC309 49.02615564461 40.80461207142 -- 0.73 0.686
IC310 49.17907815413 41.32489321654 -- 0.947 0.909
IC311 49.19469583333334 40.00361250000001 -- 0.963 0.732
IC312 49.53505934995 41.75437716416 -- 0.94 0.451
IC313 50.24131720664 41.89383874731 -- 0.713 0.599
IC314 49.707474085090006 -1.9732627662100004 -- 1.093 0.634
IC315 49.78889325365 4.038537526399999 -- 0.68 0.326
IC316 50.332965 41.931858 -- 0.607 0.485
IC317 49.7313080818 -12.74015360974 -- 0.533 0.427
IC318 50.18257535213999 -14.568198883269995 -- 0.657 0.328
IC320 51.496514653590005 40.78903829676 -- 0.837 0.653
IC321 51.12334826626 -14.985483521 -- 0.517 0.475
IC322 51.50202719017 3.6804984686 -- 0.333 0.28
IC324 51.6180510242 -21.35554308385 -- 0.53 0.456
IC325 52.70355989058 -7.046751100639999 -- 0.473 0.398
IC326 52.65259607896 -14.42558646471 -- 0.56 0.47
IC327 52.79157083333334 -14.692075 -- 0.383 0.261
IC328 52.79558749999999 -14.637908333333328 -- 0.49 0.353
IC329 53.00570631539 0.27946883947999995 -- 0.483 0.271
IC330 53.03345766833 0.3533962775 -- 0.787 0.252
IC331 53.07952157647 0.28257189828 -- 0.52 0.458
IC332 53.15597589121 1.3825867938400005 -- 0.597 0.37
IC334 56.32122916666666 76.63826111111112 11.329999923706055 1.897 1.328
IC336 54.25 23.4 -- -- --
IC338 54.40876249999999 3.1188111111111114 -- 0.513 0.4
IC340 54.87129166666667 -13.115113888888889 -- 0.867 0.416
IC341 55.5 21.8 -- -- --
IC342 56.70214166666666 68.09610555555555 -- 21.88 20.89
IC343 55.02973822464 -18.44345767583 13.1899995803833 0.92 0.405
IC344 55.3733125 -4.665783333333333 -- 0.543 0.261
IC345 55.28805164109 -18.31413325484 -- 0.423 0.322
IC346 55.43616142467 -18.26696181513 -- 1.44 0.49
IC347 55.63594400575 -4.29861730395 -- 0.867 0.693
IC348 56.132 32.159 -- 480.0 480.0
IC349 56.588750000000005 23.941111111111113 -- -- --
IC350 56.15266706124 -11.8007284942 -- 0.573 0.401
IC351 56.88741935131 35.04684420203 12.270000457763672 0.213 0.213
IC353 57.625 25.533333333333335 -- -- --
IC354 58.25 23.0 -- -- --
